Name,Pinyin,Telecode,PinyinTriple,TMIS,Bureau,City,Type,TrainList
北舍,Beishe,BNP,BSH,21581,北京局,长治市,"货,客","6043,6044"
常村,Changcun,VCP,CCU,21566,北京局,长治市,"货,客","6043,6044"
东阳关,Dongyangguan,RGP,DYG,21557,北京局,长治市,"货,客","6043,6044"
大涧,Dajian,DFP,DJI,14312,北京局,大同市,客,"6438,6437"
和顺县,Heshunxian,HOP,HSX,27178,北京局,晋中市,客,"K4588,K4586"
潞城,Lucheng,UTP,LCH,21578,北京局,长治市,"货,客","6043,6044"
黎城,Licheng,UCP,LCH,21560,北京局,长治市,"货,客","6043,6044"
漫流河,Manliuhe,MIP,MLH,21569,北京局,长治市,"货,客","6043,6044"
南山交,Nanjiao,NJP,NJI,21551,北京局,长治市,"货,客","6043,6044"
平定,Pingding,PIP,PDI,27101,北京局,阳泉市,"货,客","K4588,K4586"
水洋,Shuiyang,OYP,SYA,21563,北京局,长治市,"货,客","6043,6044"
微子镇,Weizizhen,WQP,WZZ,21575,北京局,长治市,"货,客","6043,6044"
云彩岭,Yuncailing,ACP,YCL,14309,北京局,大同市,"货,客","6438,6437"
昔阳,Xiyang,XEP,XYA,27128,北京局,晋中市,"货,客","K4588,K4586"
招柏,Zhaobai,ZBP,ZBA,14306,北京局,大同市,"货,客","6438,6437"
左权,Zuoquan,ZNP,ZQU,27180,北京局,晋中市,"货,客","K4588,K4586"
堡子湾,Buziwan,PZC,BZW,12455,呼和浩特局,大同市,"货,客","6055,6056"
孤山,Gushan,GSC,GSH,12449,呼和浩特局,大同市,"货,客","6055,6056"
长治,Changzhi,CZF,CZH,28361,郑州局,长治市,客,"K903,K901"
长治北,Changzhibei,CBF,CZB,28337,郑州局,长治市,客,"K903,K901,6043,6044"
高平,Gaoping,GPF,GPI,28379,郑州局,晋城市,"货,客",K903
晋城,Jincheng,JCF,JCH,28418,郑州局,晋城市,客,"K903,K901"
襄垣,Xiangyuan,EIF,XYU,28325,郑州局,长治市,"货,客","K903,K901"
安塘,Antang,ATV,ATA,27641,太原局,忻州市,"货,客","4616,4618"
安泽,Anze,AEV,AZE,27949,太原局,临汾市,"货,客","K7835,K7836"
播明,Boming,BMV,BMI,27473,太原局,忻州市,"货,客","8818,8817"
白文东,Baiwendong,BCV,BWD,27814,太原局,吕梁市,"货,客","4621,4623"
蔡家崖,Caijiaya,EBV,CJY,27904,太原局,吕梁市,客,"4621,4623"
大同东,Datongdong,DDV,DTD,12389,太原局,大同市,"货,客","8187,8188"
大同,Datong,DTV,DTO,12392,太原局,大同市,客,"K2095,K2096,6055,6056,8187,8188,8823,8824"
定襄,Dingxiang,DXV,DXI,27683,太原局,忻州市,"货,客","8821,8822"
代县,Daixian,DKV,DXI,14375,太原局,忻州市,"货,客","K603,K604,8818,8817"
大营,Daying,DYV,DYI,14351,太原局,忻州市,"货,客","8818,8817"
东淤地,Dongyudi,DBV,DYD,14345,太原局,忻州市,"货,客","8818,8817"
岱岳,Daiyue,RYV,DYU,27365,太原局,朔州市,"货,客","8823,8824"
东镇,Dongzhen,DNV,DZH,28157,太原局,运城市,"货,客","K603,K604"
汾河,Fenhe,FEV,FHE,27713,太原局,太原市,客,"4621,4623"
浮山,Fushan,FOV,FSH,27946,太原局,临汾市,"货,客","K7835,K7836"
东庄,Dongzhuang,DZV,DZH,14348,太原局,忻州市,"货,客","8818,8817"
汾阳,Fenyang,FAV,FYA,65012,太原局,吕梁市,"货,客","Z9206"
高村,Gaocun,GCV,GCU,27497,太原局,太原市,客,"8818,8817"
风陵渡,Fenglingdu,FLV,FLD,28220,太原局,运城市,客,"K2665"
繁峙,Fanshi,FSV,FSH,14366,太原局,忻州市,"货,客","K603,K604,8818,8817"
古交,Gujiao,GJV,GJI,27797,太原局,太原市,客,"4621,4623"
洪洞北,Hongtongbei,HLV,HDB,27943,太原局,临汾市,"货,客","K7835,K7836"
怀仁东,Huairendong,HFV,HRD,27301,太原局,朔州市,"客,高","K2095,K2096,G2405"
怀仁,Huairen,HRV,HRE,27353,太原局,朔州市,"货,客","8823,8824"
侯马,Houma,HMV,HMA,28142,太原局,临汾市,客,"K603,K604,K2665,K2095,K2096"
河津,Hejin,HJV,HJI,28841,太原局,运城市,客,"K2095,K2096"
河边,Hebian,HBV,HBI,27689,太原局,忻州市,客,"8821,8822"
交城,Jiaocheng,JNV,JCH,65006,太原局,吕梁市,"货,客","Z9206"
霍州,Huozhou,HZV,HZH,28073,太原局,临汾市,"货,客","K603,K604,K2096"
稷山,Jishan,JVV,JSH,28832,太原局,运城市,"货,客","K2095,K2096"
晋中,Jinzhong,JZV,JZH,26473,太原局,晋中市,"货,客,高","G623,G695"
介休,Jiexiu,JXV,JXI,28025,太原局,晋中市,客,"K603,K604,K2095,K2096"
娄烦,Loufan,USV,LFA,27802,太原局,太原市,客,"4621,4623"
岢岚,Kelan,KLV,KLA,27650,太原局,忻州市,客,"4616,4618"
临汾,Linfen,LFV,LFE,28100,太原局,临汾市,客,"K603,K604,K2665,K2095,K2096"
吕梁,Lvliang,LHV,LLI,65021,太原局,吕梁市,客,"Z9206"
柳林南,Liulinnan,LKV,LLN,65024,太原局,吕梁市,客,"Z9206"
临县,Linxian,LUV,LXI,27916,太原局,吕梁市,"货,客","K7835,K7836"
灵石,Lingshi,LSV,LSH,28052,太原局,晋中市,"货,客","K604"
灵丘,Lingqiu,LVV,LQI,14315,太原局,大同市,客,"K603,K604,8818,8817"
岚县,Lanxian,UXV,LXI,27808,太原局,吕梁市,"货,客","4621,4623"
宁武,Ningwu,NWV,NWU,27419,太原局,忻州市,客,"4616,4618,8823,8824"
平社,Pingshe,PSV,PSH,27488,太原局,忻州市,"货,客","8818,8817"
平旺,Pingwang,PWV,PWA,27332,太原局,大同市,"货,客","8823,8824"
平遥,Pingyao,PYV,PYA,28016,太原局,晋中市,"货,客","K603,K604,K2095,K2096"
蒲县,Puxian,PXV,PXI,27937,太原局,临汾市,"货,客","K7835,K7836"
平型关,Pingxingguan,PGV,PXG,14342,太原局,大同市,"货,客","8818,8817"
秦家庄,Qinjiazhuang,QZV,QJZ,27644,太原局,忻州市,"货,客","4616,4618"
沁县,Qinxian,QVV,QXI,28307,太原局,长治市,客,"K903,K901"
祁县,Qixian,QXV,QXI,28010,太原局,晋中市,"货,客","K603,K2095"
神池,Shenchi,SMV,SCH,27623,太原局,忻州市,"货,客","4616,4618"
石楼县,Shilouxian,STV,SLX,27931,太原局,吕梁市,"货,客","K7835,K7836"
山阴,Shanyin,SNV,SYI,27307,太原局,朔州市,"货,客","K2095,K2096"
神头,Shentou,SEV,STO,27377,太原局,朔州市,"货,客","8823,8824"
太原,Taiyuan,TYV,TYU,26447,太原局,太原市,"客,高","G622,K603,K4588,K604,K903,K4586,K7835,K7836,K2095,K901,K2096,Z9206,4621,4616,4623,4618,8818,8817"
太谷东,Taigudong,TEV,TGD,38454,太原局,晋中市,"货,客,高","G695"
太原南,Taiyuannan,TNV,TYN,26468,太原局,太原市,"客,高","K2095,G623,G625,G622,G2514,G695,G2405,D1049"
太谷,Taigu,TGV,TGU,28004,太原局,晋中市,客,"K603,K604,K2095,K2096"
朔州,Shuozhou,SUV,SZH,27389,太原局,朔州市,客,"8823,8824"
天镇,Tianzhen,TZV,TZH,12350,太原局,大同市,"货,客,高","G2514,8187,8188"
武乡,Wuxiang,WUV,WXI,38458,太原局,长治市,"货,客,高","G695"
五台山,Wutaishan,WSV,WTS,14357,太原局,忻州市,"货,客","K603,K604,8818,8817"
文水,Wenshui,WEV,WSH,65009,太原局,吕梁市,"货,客","Z9206"
襄汾,Xiangfen,XFV,XFE,28124,太原局,临汾市,"货,客","K603,K604,K2665"
闻喜,Wenxi,WXV,WXI,28160,太原局,运城市,"货,客","K603,K604,K2665"
武乡东,Wuxiangdong,WVV,WXD,28298,太原局,长治市,"货,客","K903,K901"
五寨,Wuzhai,WZV,WZH,27635,太原局,忻州市,"货,客","4616,4618"
轩岗,Xuangang,XGV,XGA,27434,太原局,忻州市,"货,客","4616,4618"
新绛,Xinjiang,XJV,XJI,28826,太原局,运城市,"货,客","K2096"
下社,Xiashe,XSV,XSH,14369,太原局,忻州市,"货,客","8818,8817"
隰县,Xixian,EAV,XXI,27934,太原局,临汾市,"货,客","K7835,K7836"
榆次,Yuci,YCV,YCI,26420,太原局,晋中市,"货,客","K603,K604,K903,K2095,K901,K2096"
忻州,Xinzhou,XXV,XZH,27476,太原局,忻州市,"货,客","K603,K604,K2095,K2096,4616,4618,8818,8821,8817,8822"
阳高,Yanggao,YOV,YGA,12362,太原局,大同市,"货,客","8187,8188"
运城,Yuncheng,YNV,YCH,28175,太原局,运城市,"货,客","K603,K604,K2665"
阳明堡,Yangmingbu,YVV,YMB,14378,太原局,忻州市,"货,客","8818,8817"
永济,Yongji,YIV,YJI,28208,太原局,运城市,"货,客","K2665"
榆社西,Yushexi,AXV,YSX,38456,太原局,晋中市,"货,客,高","G2405"
阳曲,Yangqu,YQV,YQU,27503,太原局,太原市,"货,客","K2096,4616,4618,8818,8817"
榆社,Yushe,YSV,YSH,28280,太原局,晋中市,"货,客","K903,K901"
应县,Yingxian,YZV,YXI,27304,太原局,朔州市,"货,客","K2095"
